[DEBUG] 2016-04-06 16:04:58:0175 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 71 | 309456 | Trying to get mode from get
[INFO ] 2016-04-06 16:04:58:0176 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/modefromget.php | 2 | 311296 | Got this file
[DEBUG] 2016-04-06 16:04:58:0177 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 74 | 309536 | Trying to get menu from get
[INFO ] 2016-04-06 16:04:58:0177 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/menufromget.php | 2 | 311376 | Got this file
[DEBUG] 2016-04-06 16:04:58:0177 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 77 | 309920 | Trying to get language from get
[INFO ] 2016-04-06 16:04:58:0178 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/langfromget.php | 2 | 311760 | Got this file
[DEBUG] 2016-04-06 16:04:58:0178 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 80 | 310224 | Trying to get all site messages from DB
[DEBUG] 2016-04-06 16:04:58:0178 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/messages.php | 11 | 312104 | Got this file
[DEBUG] 2016-04-06 16:04:58:0183 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/messages.php | 22 | 322792 | Got 2 messages for this company
[DEBUG] 2016-04-06 16:04:58:0183 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 89 | 321000 | Trying to call autoload_scripts_from_functions.php
[INFO ] 2016-04-06 16:04:58:0184 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/autoload_scripts_from_functions.php | 11 | 322952 | Got this file
[DEBUG] 2016-04-06 16:04:58:0184 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 93 | 321280 | Trying to insert SEND_LETTER function
[INFO ] 2016-04-06 16:04:58:0184 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/functions/send_letter.php | 1 | 324848 | Got this file
[INFO ] 2016-04-06 16:04:58:0185 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/platform_header.php | 1 | 321576 | Got platform_header
